"id";"id_str";"last_id_str";"retweet_count";"favorite_count";"consulted_in";"createdAt";"created_at";"updated_at"
317;"3294107902";"1415128014204067840";698;0;"2021-07-14 12:59:55";"2021-07-14 12:59:55";"2021-07-14 12:59:55";"2021-07-14 12:59:55"
318;"33014349";"1413848037122838538";1;0;"2021-07-14 12:59:56";"2021-07-14 12:59:56";"2021-07-14 12:59:56";"2021-07-14 12:59:56"
319;"3084916883";"1415290254437896192";0;0;"2021-07-14 12:59:58";"2021-07-14 12:59:58";"2021-07-14 12:59:58";"2021-07-14 12:59:58"
320;"153563550";"1415296768607145984";11;0;"2021-07-14 12:59:59";"2021-07-14 12:59:59";"2021-07-14 12:59:59";"2021-07-14 12:59:59"
321;"218355933";"1415300072447823873";2;0;"2021-07-14 13:00:01";"2021-07-14 13:00:01";"2021-07-14 13:00:01";"2021-07-14 13:00:01"
322;"256661112";"1414693914397847552";0;2;"2021-07-14 13:00:04";"2021-07-14 13:00:04";"2021-07-14 13:00:04";"2021-07-14 13:00:04"
323;"823535524610797569";"1414705695048536065";105;0;"2021-07-14 13:00:06";"2021-07-14 13:00:06";"2021-07-14 13:00:06";"2021-07-14 13:00:06"
324;"292023005";"1413674792859979776";0;3;"2021-07-14 13:00:07";"2021-07-14 13:00:07";"2021-07-14 13:00:07";"2021-07-14 13:00:07"
325;"98934540";"1413560817837125638";0;0;"2021-07-14 13:00:08";"2021-07-14 13:00:08";"2021-07-14 13:00:08";"2021-07-14 13:00:08"
326;"149115340";"1414690482832150531";17179;0;"2021-07-14 13:00:10";"2021-07-14 13:00:10";"2021-07-14 13:00:10";"2021-07-14 13:00:10"
327;"54627754";"1415310984324034562";1;1;"2021-07-14 13:00:11";"2021-07-14 13:00:11";"2021-07-14 13:00:11";"2021-07-14 13:00:11"
328;"1226849278087352320";"1415315623454859270";0;0;"2021-07-14 13:00:13";"2021-07-14 13:00:13";"2021-07-14 13:00:13";"2021-07-14 13:00:13"
329;"46927498";"1415256265501167619";1;2;"2021-07-14 13:00:14";"2021-07-14 13:00:14";"2021-07-14 13:00:14";"2021-07-14 13:00:14"
330;"44251759";"1415278160934064128";0;0;"2021-07-14 13:00:16";"2021-07-14 13:00:16";"2021-07-14 13:00:16";"2021-07-14 13:00:16"
331;"60053376";"1411921602871185413";0;0;"2021-07-14 13:00:17";"2021-07-14 13:00:17";"2021-07-14 13:00:17";"2021-07-14 13:00:17"
332;"24761253";"1415266790909911041";0;2;"2021-07-14 13:00:20";"2021-07-14 13:00:20";"2021-07-14 13:00:20";"2021-07-14 13:00:20"
333;"116751115";"1415297901685874688";1;0;"2021-07-14 13:00:20";"2021-07-14 13:00:20";"2021-07-14 13:00:20";"2021-07-14 13:00:20"
334;"794866608";"1403811862165311488";7;11;"2021-07-14 13:00:22";"2021-07-14 13:00:22";"2021-07-14 13:00:22";"2021-07-14 13:00:22"
335;"2583179096";"1415295340828315649";0;2;"2021-07-14 13:00:23";"2021-07-14 13:00:23";"2021-07-14 13:00:23";"2021-07-14 13:00:23"
336;"1093329310579154944";"1193989163961536512";0;2;"2021-07-14 13:00:25";"2021-07-14 13:00:25";"2021-07-14 13:00:25";"2021-07-14 13:00:25"
337;"1025103133981257728";"1323326698507636736";0;0;"2021-07-14 13:00:26";"2021-07-14 13:00:26";"2021-07-14 13:00:26";"2021-07-14 13:00:26"
338;"2773697022";"516965542134317056";0;1;"2021-07-14 13:00:28";"2021-07-14 13:00:28";"2021-07-14 13:00:28";"2021-07-14 13:00:28"
339;"1909765362";"1394790918146887682";4;0;"2021-07-14 13:00:29";"2021-07-14 13:00:29";"2021-07-14 13:00:29";"2021-07-14 13:00:29"
340;"1086232379482689536";"1415306252213702660";1;0;"2021-07-14 13:00:31";"2021-07-14 13:00:31";"2021-07-14 13:00:31";"2021-07-14 13:00:31"
341;"1118481835376431104";"1415304146689957891";0;0;"2021-07-14 13:00:32";"2021-07-14 13:00:32";"2021-07-14 13:00:32";"2021-07-14 13:00:32"
342;"1095733666003800064";"1414581160789823492";0;1;"2021-07-14 13:00:34";"2021-07-14 13:00:34";"2021-07-14 13:00:34";"2021-07-14 13:00:34"
343;"632737286";"1414538991047741441";0;0;"2021-07-14 13:00:35";"2021-07-14 13:00:35";"2021-07-14 13:00:35";"2021-07-14 13:00:35"
344;"1095138301844033537";"1414975148155883523";0;0;"2021-07-14 13:00:37";"2021-07-14 13:00:37";"2021-07-14 13:00:37";"2021-07-14 13:00:37"
345;"63508635";"1415301478051426304";3;0;"2021-07-14 13:00:38";"2021-07-14 13:00:38";"2021-07-14 13:00:38";"2021-07-14 13:00:38"
346;"2793462577";"1404819072479543296";1;0;"2021-07-14 13:00:40";"2021-07-14 13:00:40";"2021-07-14 13:00:40";"2021-07-14 13:00:40"
347;"231407772";"1346593055034519552";3;0;"2021-07-14 13:00:42";"2021-07-14 13:00:42";"2021-07-14 13:00:42";"2021-07-14 13:00:42"
348;"167968053";"25060169171";0;0;"2021-07-14 13:00:43";"2021-07-14 13:00:43";"2021-07-14 13:00:43";"2021-07-14 13:00:43"
349;"1177021738053525504";"1414684029887078409";2;3;"2021-07-14 13:00:44";"2021-07-14 13:00:44";"2021-07-14 13:00:44";"2021-07-14 13:00:44"
350;"795228290";"300133869787705344";1;0;"2021-07-14 13:00:46";"2021-07-14 13:00:46";"2021-07-14 13:00:46";"2021-07-14 13:00:46"
351;"583377940";"1412235491152433154";1;39;"2021-07-14 13:00:47";"2021-07-14 13:00:47";"2021-07-14 13:00:47";"2021-07-14 13:00:47"
352;"2317252641";"1414923376297140230";1;0;"2021-07-14 13:00:49";"2021-07-14 13:00:49";"2021-07-14 13:00:49";"2021-07-14 13:00:49"
353;"179147542";"393503201372041216";0;3;"2021-07-14 13:00:50";"2021-07-14 13:00:50";"2021-07-14 13:00:50";"2021-07-14 13:00:50"
354;"323263308";"1415314260016734208";1;0;"2021-07-14 13:00:52";"2021-07-14 13:00:52";"2021-07-14 13:00:52";"2021-07-14 13:00:52"
355;"140480459";"1415326018504638467";0;0;"2021-07-14 13:00:55";"2021-07-14 13:00:55";"2021-07-14 13:00:55";"2021-07-14 13:00:55"
356;"1576755078";"1415333981839572993";1;0;"2021-07-14 13:00:56";"2021-07-14 13:00:56";"2021-07-14 13:00:56";"2021-07-14 13:00:56"
357;"2654800357";"1415337764426498049";0;3;"2021-07-14 13:00:58";"2021-07-14 13:00:58";"2021-07-14 13:00:58";"2021-07-14 13:00:58"
358;"3254270357";"1356325339681710082";0;7;"2021-07-14 13:00:59";"2021-07-14 13:00:59";"2021-07-14 13:00:59";"2021-07-14 13:00:59"
359;"137548563";"1415332408551936007";2;10;"2021-07-14 13:01:01";"2021-07-14 13:01:01";"2021-07-14 13:01:01";"2021-07-14 13:01:01"
360;"3092387621";"1057803224026177536";0;8;"2021-07-14 13:01:02";"2021-07-14 13:01:02";"2021-07-14 13:01:02";"2021-07-14 13:01:02"
361;"1113965533542719488";"1414946773915811843";0;1;"2021-07-14 13:01:04";"2021-07-14 13:01:04";"2021-07-14 13:01:04";"2021-07-14 13:01:04"
362;"25311569";"1413418938961219584";1;2;"2021-07-14 13:01:06";"2021-07-14 13:01:06";"2021-07-14 13:01:06";"2021-07-14 13:01:06"
363;"163165805";"1415113233539772423";0;0;"2021-07-14 13:01:07";"2021-07-14 13:01:07";"2021-07-14 13:01:07";"2021-07-14 13:01:07"
364;"97445850";"1413600452428673034";0;1;"2021-07-14 13:01:09";"2021-07-14 13:01:09";"2021-07-14 13:01:09";"2021-07-14 13:01:09"
365;"1233024544270684161";"1414224985393180673";0;0;"2021-07-14 13:01:10";"2021-07-14 13:01:10";"2021-07-14 13:01:10";"2021-07-14 13:01:10"
366;"948927124316008449";"1414554999271698432";0;8;"2021-07-14 13:01:11";"2021-07-14 13:01:11";"2021-07-14 13:01:11";"2021-07-14 13:01:11"
367;"2970617333";"1415009809800339459";0;1;"2021-07-14 13:01:14";"2021-07-14 13:01:14";"2021-07-14 13:01:14";"2021-07-14 13:01:14"
368;"48122425";"1415267917982314500";37;0;"2021-07-14 13:01:16";"2021-07-14 13:01:16";"2021-07-14 13:01:16";"2021-07-14 13:01:16"
369;"1063411413845241856";"1414638758356467717";0;1;"2021-07-14 13:01:17";"2021-07-14 13:01:17";"2021-07-14 13:01:17";"2021-07-14 13:01:17"
370;"1067790946090315776";"1415106838228504585";1;4;"2021-07-14 13:01:19";"2021-07-14 13:01:19";"2021-07-14 13:01:19";"2021-07-14 13:01:19"
371;"1350454263386959872";"1411367407365627904";7;0;"2021-07-14 13:01:20";"2021-07-14 13:01:20";"2021-07-14 13:01:20";"2021-07-14 13:01:20"
372;"1104120809482866688";"1415277216368402433";0;0;"2021-07-14 13:01:22";"2021-07-14 13:01:22";"2021-07-14 13:01:22";"2021-07-14 13:01:22"
373;"1325494376";"1415052624148189185";2;2;"2021-07-14 13:01:23";"2021-07-14 13:01:23";"2021-07-14 13:01:23";"2021-07-14 13:01:23"
374;"25577585";"1415265896352866311";11;0;"2021-07-14 13:01:25";"2021-07-14 13:01:25";"2021-07-14 13:01:25";"2021-07-14 13:01:25"
375;"74849428";"1415101952011145222";0;2;"2021-07-14 13:01:26";"2021-07-14 13:01:26";"2021-07-14 13:01:26";"2021-07-14 13:01:26"
376;"176832003";"1325554603207876615";1;13;"2021-07-14 13:01:28";"2021-07-14 13:01:28";"2021-07-14 13:01:28";"2021-07-14 13:01:28"
377;"71882668";"1415086571716497416";1;98;"2021-07-14 13:01:29";"2021-07-14 13:01:29";"2021-07-14 13:01:29";"2021-07-14 13:01:29"
378;"78714361";"1415249279254474762";5;0;"2021-07-14 13:01:31";"2021-07-14 13:01:31";"2021-07-14 13:01:31";"2021-07-14 13:01:31"
379;"139194124";"1413483744430755843";1;0;"2021-07-14 13:01:32";"2021-07-14 13:01:32";"2021-07-14 13:01:32";"2021-07-14 13:01:32"
