"id";"id_str";"followers_count";"created_at";"updated_at"
3717;"1335942718040793091";436;"2021-07-05 14:56:50";"2021-07-05 14:56:50"
3725;"798892388366381056";479025;"2021-07-05 14:58:50";"2021-07-05 14:58:50"
3730;"1081389350137532416";63;"2021-07-05 14:58:51";"2021-07-05 14:58:51"
3743;"1335942718040793091";436;"2021-07-05 15:00:50";"2021-07-05 15:00:50"
3755;"127285692";3550;"2021-07-05 15:02:50";"2021-07-05 15:02:50"
3756;"1335942718040793091";436;"2021-07-05 15:02:51";"2021-07-05 15:02:51"
3769;"798892388366381056";479028;"2021-07-05 15:04:50";"2021-07-05 15:04:50"
3782;"1335942718040793091";436;"2021-07-05 15:06:50";"2021-07-05 15:06:50"
3795;"2670726740";2642292;"2021-07-05 15:08:50";"2021-07-05 15:08:50"
3805;"2670726740";2642294;"2021-07-05 15:10:50";"2021-07-05 15:10:50"
3808;"342994346";255788;"2021-07-05 15:10:51";"2021-07-05 15:10:51"
3821;"1084783141";6386;"2021-07-05 15:12:50";"2021-07-05 15:12:50"
3834;"1335942718040793091";436;"2021-07-05 15:14:50";"2021-07-05 15:14:50"
3847;"127285692";3550;"2021-07-05 15:16:50";"2021-07-05 15:16:50"
3860;"1335942718040793091";436;"2021-07-05 15:18:50";"2021-07-05 15:18:50"
3873;"1081389350137532416";63;"2021-07-05 15:20:50";"2021-07-05 15:20:50"
3886;"798892388366381056";479046;"2021-07-05 15:22:50";"2021-07-05 15:22:50"
3899;"1335942718040793091";436;"2021-07-05 15:24:50";"2021-07-05 15:24:50"
3912;"1335942718040793091";436;"2021-07-05 15:26:50";"2021-07-05 15:26:50"
3913;"1335942718040793091";436;"2021-07-05 15:28:50";"2021-07-05 15:28:50"
3920;"1335942718040793091";436;"2021-07-05 15:28:51";"2021-07-05 15:28:51"
3925;"127285692";3550;"2021-07-05 15:28:52";"2021-07-05 15:28:52"
3938;"127285692";3550;"2021-07-05 15:30:50";"2021-07-05 15:30:50"
3951;"1335942718040793091";436;"2021-07-05 15:32:50";"2021-07-05 15:32:50"
3964;"1081389350137532416";63;"2021-07-05 15:34:50";"2021-07-05 15:34:50"
3977;"25577585";633198;"2021-07-05 15:36:50";"2021-07-05 15:36:50"
3999;"127285692";3550;"2021-07-05 15:50:11";"2021-07-05 15:50:11"
4006;"25577585";633204;"2021-07-05 15:52:10";"2021-07-05 15:52:10"
4010;"1084783141";6386;"2021-07-05 15:52:11";"2021-07-05 15:52:11"
4015;"1335942718040793091";437;"2021-07-05 15:54:10";"2021-07-05 15:54:10"
4021;"25577585";633205;"2021-07-05 15:54:11";"2021-07-05 15:54:11"
4030;"1084783141";6386;"2021-07-05 15:56:10";"2021-07-05 15:56:10"
4032;"1335942718040793091";437;"2021-07-05 15:56:11";"2021-07-05 15:56:11"
4037;"1335942718040793091";437;"2021-07-05 15:58:10";"2021-07-05 15:58:10"
4044;"342994346";255792;"2021-07-05 15:58:11";"2021-07-05 15:58:11"
4055;"1335942718040793091";437;"2021-07-05 16:00:10";"2021-07-05 16:00:10"
4058;"798892388366381056";479037;"2021-07-05 16:00:11";"2021-07-05 16:00:11"
4071;"1081389350137532416";63;"2021-07-05 16:02:10";"2021-07-05 16:02:10"
4072;"798892388366381056";479041;"2021-07-05 16:02:11";"2021-07-05 16:02:11"
4077;"1081389350137532416";63;"2021-07-05 16:04:10";"2021-07-05 16:04:10"
4087;"2670726740";2642395;"2021-07-05 16:04:11";"2021-07-05 16:04:11"
4102;"25577585";633213;"2021-07-05 16:07:05";"2021-07-05 16:07:05"
4117;"1335942718040793091";437;"2021-07-05 16:09:05";"2021-07-05 16:09:05"
4126;"185344587";1852397;"2021-07-05 16:11:55";"2021-07-05 16:11:55"
4132;"127285692";3550;"2021-07-05 16:11:56";"2021-07-05 16:11:56"
4136;"40053694";1608768;"2021-07-05 16:13:44";"2021-07-05 16:13:44"
4147;"342994346";255792;"2021-07-05 16:13:45";"2021-07-05 16:13:45"
4162;"185344587";1852397;"2021-07-05 16:15:44";"2021-07-05 16:15:44"
4174;"1335942718040793091";437;"2021-07-05 16:17:44";"2021-07-05 16:17:44"
4177;"1335942718040793091";437;"2021-07-05 16:17:45";"2021-07-05 16:17:45"
4192;"1084783141";6386;"2021-07-05 16:24:02";"2021-07-05 16:24:02"
4206;"1084783141";6386;"2021-07-05 16:24:25";"2021-07-05 16:24:25"
4207;"1081389350137532416";62;"2021-07-05 16:24:26";"2021-07-05 16:24:26"
4237;"798892388366381056";479093;"2021-07-05 16:44:46";"2021-07-05 16:44:46"
4252;"185344587";1852399;"2021-07-05 16:46:10";"2021-07-05 16:46:10"
4267;"127285692";3550;"2021-07-05 16:50:20";"2021-07-05 16:50:20"
4282;"1335942718040793091";436;"2021-07-05 16:52:58";"2021-07-05 16:52:58"
4284;"68712576";2140527;"2021-07-05 17:05:11";"2021-07-05 17:05:11"
4295;"40053694";1608854;"2021-07-05 17:05:17";"2021-07-05 17:05:17"
4299;"1335942718040793091";438;"2021-07-05 17:05:18";"2021-07-05 17:05:18"
4314;"1335942718040793091";438;"2021-07-05 17:06:17";"2021-07-05 17:06:17"
4328;"1335942718040793091";438;"2021-07-05 17:07:17";"2021-07-05 17:07:17"
