"id";"max_id_str";"id_str";"count";"created_at";"updated_at"
865;"1415118956340281344";"48515258";15;"2021-07-13 23:51:47";"2021-07-13 23:51:47"
866;"1415141836990173186";"3181396187";15;"2021-07-13 23:51:53";"2021-07-13 23:51:53"
867;"1415122883450482698";"2900528733";15;"2021-07-13 23:51:59";"2021-07-13 23:51:59"
868;"1414955234812735495";"1267667511895633921";15;"2021-07-13 23:52:05";"2021-07-13 23:52:05"
869;"";"176269387";0;"2021-07-13 23:52:11";"2021-07-13 23:52:11"
870;"1415136637609197572";"58538668";15;"2021-07-13 23:52:17";"2021-07-13 23:52:17"
871;"1415078042188271621";"626138471";15;"2021-07-13 23:52:23";"2021-07-13 23:52:23"
872;"1415051860793245698";"55152459";15;"2021-07-13 23:52:29";"2021-07-13 23:52:29"
873;"1414302531631689728";"3294107902";3;"2021-07-13 23:52:35";"2021-07-13 23:52:35"
874;"1413932644988080130";"33014349";0;"2021-07-13 23:52:41";"2021-07-13 23:52:41"
875;"1415048433476460547";"3084916883";15;"2021-07-13 23:52:48";"2021-07-13 23:52:48"
876;"1414735342570074115";"153563550";15;"2021-07-13 23:52:53";"2021-07-13 23:52:53"
877;"1415128271063326722";"218355933";9;"2021-07-13 23:52:59";"2021-07-13 23:52:59"
878;"1414711606739673089";"27166575";1;"2021-07-13 23:53:05";"2021-07-13 23:53:05"
879;"1412610870870429696";"256661112";1;"2021-07-13 23:53:11";"2021-07-13 23:53:11"
880;"1413497177867882508";"823535524610797569";1;"2021-07-13 23:53:17";"2021-07-13 23:53:17"
881;"1413183508466610176";"292023005";8;"2021-07-13 23:53:23";"2021-07-13 23:53:23"
882;"1414686313429798914";"98934540";12;"2021-07-13 23:53:29";"2021-07-13 23:53:29"
883;"1414704966296645635";"149115340";15;"2021-07-13 23:53:35";"2021-07-13 23:53:35"
884;"1415098551953199110";"54627754";15;"2021-07-13 23:53:41";"2021-07-13 23:53:41"
885;"1415093558336528386";"1226849278087352320";2;"2021-07-13 23:53:47";"2021-07-13 23:53:47"
886;"1414877629832998921";"46927498";15;"2021-07-13 23:53:53";"2021-07-13 23:53:53"
887;"1414904627452076037";"44251759";15;"2021-07-13 23:53:59";"2021-07-13 23:53:59"
888;"";"60053376";0;"2021-07-13 23:54:05";"2021-07-13 23:54:05"
889;"1413854680241905668";"24761253";8;"2021-07-13 23:54:11";"2021-07-13 23:54:11"
890;"1415122883450482698";"116751115";0;"2021-07-13 23:54:17";"2021-07-13 23:54:17"
891;"";"794866608";0;"2021-07-13 23:54:23";"2021-07-13 23:54:23"
892;"1415122883450482698";"2583179096";0;"2021-07-13 23:54:29";"2021-07-13 23:54:29"
893;"";"1093329310579154944";0;"2021-07-13 23:54:35";"2021-07-13 23:54:35"
894;"";"1025103133981257728";0;"2021-07-13 23:54:41";"2021-07-13 23:54:41"
895;"1415030365530599429";"2773697022";0;"2021-07-13 23:54:47";"2021-07-13 23:54:47"
896;"";"1909765362";0;"2021-07-13 23:54:53";"2021-07-13 23:54:53"
897;"1415038319713468416";"1086232379482689536";0;"2021-07-13 23:54:59";"2021-07-13 23:54:59"
898;"1415125018028220420";"1118481835376431104";0;"2021-07-13 23:55:05";"2021-07-13 23:55:05"
899;"1412781988742942726";"1095733666003800064";0;"2021-07-13 23:55:11";"2021-07-13 23:55:11"
900;"1414218528513736705";"632737286";0;"2021-07-13 23:55:17";"2021-07-13 23:55:17"
901;"1413452880409944064";"1095138301844033537";0;"2021-07-13 23:55:23";"2021-07-13 23:55:23"
902;"1415135804863700995";"63508635";0;"2021-07-13 23:55:29";"2021-07-13 23:55:29"
903;"";"2793462577";0;"2021-07-13 23:55:35";"2021-07-13 23:55:35"
904;"1413507406827450372";"231407772";0;"2021-07-13 23:55:41";"2021-07-13 23:55:41"
905;"";"167968053";0;"2021-07-13 23:55:47";"2021-07-13 23:55:47"
906;"1414690683819073538";"1177021738053525504";0;"2021-07-13 23:55:53";"2021-07-13 23:55:53"
907;"";"795228290";0;"2021-07-13 23:55:59";"2021-07-13 23:55:59"
908;"1415122883450482698";"583377940";0;"2021-07-13 23:56:05";"2021-07-13 23:56:05"
909;"1415030365530599429";"2317252641";0;"2021-07-13 23:56:11";"2021-07-13 23:56:11"
910;"1414932994540851213";"179147542";0;"2021-07-13 23:56:17";"2021-07-13 23:56:17"
911;"1414910423439134721";"323263308";0;"2021-07-13 23:56:23";"2021-07-13 23:56:23"
912;"";"133284193";0;"2021-07-13 23:56:29";"2021-07-13 23:56:29"
913;"1414995254911115264";"140480459";0;"2021-07-13 23:56:35";"2021-07-13 23:56:35"
914;"1415057649092206597";"1576755078";0;"2021-07-13 23:56:41";"2021-07-13 23:56:41"
915;"1415126301657161736";"2654800357";0;"2021-07-13 23:56:47";"2021-07-13 23:56:47"
916;"1415065964643852289";"3254270357";0;"2021-07-13 23:56:53";"2021-07-13 23:56:53"
917;"1415096233560051713";"137548563";0;"2021-07-13 23:56:59";"2021-07-13 23:56:59"
918;"1415065964643852289";"3092387621";0;"2021-07-13 23:57:05";"2021-07-13 23:57:05"
919;"1415065964643852289";"1113965533542719488";0;"2021-07-13 23:57:11";"2021-07-13 23:57:11"
920;"1415065964643852289";"25311569";0;"2021-07-13 23:57:17";"2021-07-13 23:57:17"
921;"1415141918384734211";"163165805";1;"2021-07-13 23:57:23";"2021-07-13 23:57:23"
922;"1415134621633847300";"97445850";0;"2021-07-13 23:57:29";"2021-07-13 23:57:29"
923;"1415129204010758144";"1233024544270684161";0;"2021-07-13 23:57:35";"2021-07-13 23:57:35"
924;"1415071747116867591";"948927124316008449";0;"2021-07-13 23:57:41";"2021-07-13 23:57:41"
925;"1412797061305618435";"119373950";0;"2021-07-13 23:57:47";"2021-07-13 23:57:47"
926;"1415134079645851648";"2970617333";0;"2021-07-13 23:57:53";"2021-07-13 23:57:53"
927;"1415122883450482698";"48122425";0;"2021-07-13 23:57:59";"2021-07-13 23:57:59"
928;"1415118159493877760";"1063411413845241856";0;"2021-07-13 23:58:05";"2021-07-13 23:58:05"
929;"1415108284592295938";"1067790946090315776";0;"2021-07-13 23:58:11";"2021-07-13 23:58:11"
930;"";"1350454263386959872";0;"2021-07-13 23:58:17";"2021-07-13 23:58:17"
931;"1415065964643852289";"1104120809482866688";0;"2021-07-13 23:58:23";"2021-07-13 23:58:23"
932;"1415139148718018567";"1325494376";0;"2021-07-13 23:58:29";"2021-07-13 23:58:29"
933;"1415143096631844872";"25577585";1;"2021-07-13 23:58:35";"2021-07-13 23:58:35"
934;"1415133865337819142";"74849428";0;"2021-07-13 23:58:41";"2021-07-13 23:58:41"
935;"1412807746068664320";"176832003";0;"2021-07-13 23:58:47";"2021-07-13 23:58:47"
936;"1415135020436570113";"71882668";0;"2021-07-13 23:58:53";"2021-07-13 23:58:53"
937;"1415122883450482698";"78714361";0;"2021-07-13 23:58:59";"2021-07-13 23:58:59"
938;"";"139194124";0;"2021-07-13 23:59:05";"2021-07-13 23:59:05"
939;"1415016830310227972";"863587335757336585";0;"2021-07-13 23:59:11";"2021-07-13 23:59:11"
940;"1415122883450482698";"57906445";0;"2021-07-13 23:59:17";"2021-07-13 23:59:17"
941;"1414281228933533701";"717744189774151680";0;"2021-07-13 23:59:23";"2021-07-13 23:59:23"
942;"";"140669124";0;"2021-07-13 23:59:29";"2021-07-13 23:59:29"
943;"1415127958839255044";"429751053";0;"2021-07-13 23:59:35";"2021-07-13 23:59:35"
944;"1415072442058428416";"164696186";0;"2021-07-13 23:59:41";"2021-07-13 23:59:41"
945;"";"179650596";0;"2021-07-13 23:59:47";"2021-07-13 23:59:47"
946;"1414281228933533701";"264391266";0;"2021-07-13 23:59:53";"2021-07-13 23:59:53"
